date,home_team,away_team,result,b365_1,b365_x,b365_2
2025-11-08,Lecce,Verona,X,2.75,2.9,2.9
2025-11-08,Juventus,Torino,X,1.5,4.1,7.0
2025-11-08,Parma,Milan,X,5.75,4.0,1.57
2025-11-09,Atalanta,Sassuolo,2,1.44,4.5,7.0
2025-11-09,Bologna,Napoli,1,3.0,3.1,2.55
2025-11-09,Genoa,Fiorentina,X,2.75,3.0,2.75
2025-11-09,Roma,Udinese,1,1.55,4.0,6.25
2025-11-09,Inter,Lazio,1,1.36,5.0,8.0
2025-11-22,Cagliari,Genoa,X,2.88,3.0,2.75
2025-11-22,Udinese,Bologna,2,3.75,3.2,2.1
2025-11-22,Fiorentina,Juventus,X,3.9,3.4,2.0
2025-11-22,Napoli,Atalanta,1,2.25,3.25,3.4
2025-11-23,Verona,Parma,2,2.25,3.0,3.6
2025-11-23,Cremonese,Roma,2,6.0,3.75,1.62
2025-11-23,Lazio,Lecce,1,1.62,3.7,6.25
2025-11-23,Inter,Milan,2,1.9,3.5,4.0
2025-11-24,Torino,Como,2,3.5,3.25,2.2
2025-11-24,Sassuolo,Pisa,X,2.1,3.2,3.75
2025-11-28,Como,Sassuolo,1,1.73,3.6,5.0
2025-11-29,Genoa,Verona,1,2.05,3.0,4.2
2025-11-29,Parma,Udinese,2,2.7,3.0,2.8
2025-11-29,Juventus,Cagliari,1,1.3,5.5,10.0
2025-11-29,Milan,Lazio,1,1.62,3.8,5.75
2025-11-30,Lecce,Torino,1,3.0,2.88,2.7
2025-11-30,Pisa,Inter,2,8.0,5.75,1.3
2025-11-30,Atalanta,Fiorentina,1,1.73,3.75,4.75
2025-11-30,Roma,Napoli,2,2.6,2.88,3.1
2025-12-01,Bologna,Cremonese,2,1.48,4.0,8.0
2025-12-06,Sassuolo,Fiorentina,1,2.88,3.25,2.5
2025-12-06,Inter,Como,1,1.53,4.33,6.0
2025-12-06,Verona,Atalanta,1,5.0,4.0,1.67
2025-12-07,Cremonese,Lecce,1,2.4,3.1,3.2
2025-12-07,Cagliari,Roma,1,5.25,3.6,1.67
2025-12-07,Lazio,Bologna,X,2.6,3.1,2.9
2025-12-07,Napoli,Juventus,1,2.35,3.0,3.2
2025-12-08,Pisa,Parma,2,2.4,3.0,3.3
2025-12-08,Udinese,Genoa,2,2.4,3.0,3.3
2025-12-08,Torino,Milan,2,4.5,3.6,1.8
2025-12-12,Lecce,Pisa,1,2.5,2.88,3.3
2025-12-13,Torino,Cremonese,1,1.95,3.25,4.2
2025-12-13,Parma,Lazio,2,3.6,3.3,2.1
2025-12-13,Atalanta,Cagliari,1,1.33,5.0,9.5
2025-12-14,Milan,Sassuolo,X,1.42,4.33,8.0
2025-12-14,Fiorentina,Verona,2,1.8,3.4,4.75
2025-12-14,Udinese,Napoli,1,4.5,3.4,1.85
2025-12-14,Genoa,Inter,2,6.5,4.2,1.5
2025-12-14,Bologna,Juventus,2,2.88,3.25,2.5
2025-12-15,Roma,Como,1,2.1,3.3,3.6
2025-12-20,Lazio,Cremonese,X,1.62,3.8,5.75
2025-12-20,Juventus,Roma,1,1.95,3.2,4.33
2025-12-21,Cagliari,Pisa,X,2.15,3.1,3.75
2025-12-21,Sassuolo,Torino,2,2.3,3.2,3.3
2025-12-21,Fiorentina,Udinese,1,2.2,3.3,3.4
2025-12-21,Genoa,Atalanta,2,4.0,3.4,1.95
2025-12-27,Parma,Fiorentina,1,3.5,3.0,2.25
2025-12-27,Lecce,Como,2,4.75,3.3,1.8
2025-12-27,Torino,Cagliari,2,1.91,3.2,4.2
2025-12-27,Udinese,Lazio,X,3.1,3.0,2.45
2025-12-27,Pisa,Juventus,2,7.5,4.5,1.4
2025-12-28,Milan,Verona,1,1.38,4.75,8.5
2025-12-28,Cremonese,Napoli,2,6.25,3.9,1.55
2025-12-28,Bologna,Sassuolo,X,1.75,3.6,4.75
2025-12-28,Atalanta,Inter,2,3.5,3.5,2.0
2025-12-29,Roma,Genoa,1,1.6,3.6,6.25
2026-01-02,Cagliari,Milan,2,6.0,3.9,1.6
2026-01-03,Como,Udinese,1,1.73,3.8,4.75
2026-01-03,Genoa,Pisa,X,1.9,3.1,4.75
2026-01-03,Sassuolo,Parma,X,1.91,3.3,4.33
2026-01-03,Juventus,Lecce,X,1.27,5.5,13.0
2026-01-03,Atalanta,Roma,1,2.3,3.2,3.3
2026-01-04,Lazio,Napoli,2,3.4,3.1,2.3
2026-01-04,Fiorentina,Cremonese,1,1.8,3.4,5.0
2026-01-04,Verona,Torino,2,2.7,3.0,2.9
2026-01-04,Inter,Bologna,1,1.42,4.75,7.5
2026-01-06,Pisa,Como,2,5.5,3.4,1.7
2026-01-06,Lecce,Roma,2,5.25,3.5,1.73
2026-01-06,Sassuolo,Juventus,2,5.0,3.9,1.67
2026-01-07,Bologna,Atalanta,2,2.75,3.3,2.6
2026-01-07,Napoli,Verona,X,1.36,5.5,7.5
2026-01-07,Lazio,Fiorentina,X,2.4,3.1,3.2
2026-01-07,Parma,Inter,2,7.5,5.0,1.4
2026-01-07,Torino,Udinese,2,2.3,3.0,3.4
2026-01-08,Cremonese,Cagliari,X,2.4,3.1,3.2
2026-01-08,Milan,Genoa,X,1.44,4.5,7.5
2026-01-10,Como,Bologna,X,1.95,3.3,4.2
2026-01-10,Udinese,Pisa,X,1.83,3.4,4.6
2026-01-10,Roma,Sassuolo,1,1.53,4.0,6.5
2026-01-10,Atalanta,Torino,1,1.6,3.9,6.0
2026-01-11,Lecce,Parma,2,2.75,3.0,2.88
2026-01-11,Fiorentina,Milan,X,3.8,3.4,2.0
2026-01-11,Verona,Lazio,2,3.4,3.0,2.35
2026-01-11,Inter,Napoli,X,1.7,3.5,5.25
2026-01-12,Genoa,Cagliari,1,2.1,3.0,4.2
2026-01-12,Juventus,Cremonese,1,1.25,6.0,13.0
2026-01-14,Napoli,Parma,X,1.3,5.25,10.5
2026-01-14,Inter,Lecce,1,1.13,9.0,19.0
2026-01-15,Verona,Bologna,2,3.6,3.3,2.1
2026-01-15,Como,Milan,2,2.9,3.25,2.5
2026-01-16,Pisa,Atalanta,X,6.5,3.9,1.55
2026-01-17,Udinese,Inter,2,7.0,4.75,1.42
2026-01-17,Napoli,Sassuolo,1,1.48,4.33,7.5
2026-01-17,Cagliari,Juventus,1,6.25,4.2,1.5
2026-01-18,Parma,Genoa,X,2.9,2.55,3.0
2026-01-18,Bologna,Fiorentina,2,2.2,3.3,3.4
2026-01-18,Torino,Roma,2,3.75,3.1,2.15
2026-01-18,Milan,Lecce,1,1.29,5.0,13.0
2026-01-19,Cremonese,Verona,X,2.63,2.9,3.1
2026-01-19,Lazio,Como,2,2.7,2.9,3.0
2026-01-23,Inter,Pisa,1,1.18,7.5,15.0
2026-01-24,Como,Torino,1,1.62,3.75,6.0
2026-01-24,Fiorentina,Cagliari,2,1.62,3.8,5.75
2026-01-24,Lecce,Lazio,X,4.0,3.0,2.1
2026-01-25,Sassuolo,Cremonese,1,1.91,3.4,4.2
2026-01-25,Atalanta,Parma,1,1.42,4.5,7.5
2026-01-25,Genoa,Bologna,1,3.0,3.0,2.6
2026-01-25,Juventus,Napoli,1,2.05,3.2,4.0
2026-01-25,Roma,Milan,X,2.63,3.1,2.88
2026-01-26,Verona,Udinese,2,2.8,3.0,2.8
