date,home_team,away_team,b365_h,b365_x,b365_a
2023-11-06,Frosinone,Empoli,2.0,3.6,3.6
2023-11-06,Torino,Sassuolo,2.15,3.4,3.4
2023-11-10,Sassuolo,Salernitana,1.65,4.2,4.75
2023-11-10,Genoa,Verona,1.91,3.3,4.33
2023-11-11,Lecce,Milan,5.0,3.6,1.75
2023-11-11,Juventus,Cagliari,1.36,5.0,8.0
2023-11-11,Monza,Torino,2.5,3.1,3.0
2023-11-12,Napoli,Empoli,1.22,7.0,11.0
2023-11-12,Fiorentina,Bologna,2.0,3.4,3.8
2023-11-12,Udinese,Atalanta,3.75,3.5,2.0
2023-11-12,Lazio,Roma,3.0,3.0,2.63
2023-11-12,Inter,Frosinone,1.18,8.0,13.0
2023-11-25,Salernitana,Lazio,4.75,3.75,1.75
2023-11-25,Atalanta,Napoli,2.7,3.4,2.63
2023-11-25,Milan,Fiorentina,2.1,3.3,3.5
2023-11-26,Cagliari,Monza,2.88,3.25,2.5
2023-11-26,Empoli,Sassuolo,2.75,3.6,2.4
2023-11-26,Frosinone,Genoa,2.5,3.25,2.88
2023-11-26,Roma,Udinese,1.62,3.8,5.75
2023-11-26,Juventus,Inter,3.3,3.25,2.25
2023-11-27,Verona,Lecce,2.75,3.0,2.88
2023-11-27,Bologna,Torino,2.3,3.25,3.2
2023-12-01,Monza,Juventus,4.2,3.3,1.95
2023-12-02,Genoa,Empoli,1.91,3.6,3.8
2023-12-02,Lazio,Cagliari,1.62,4.0,5.25
2023-12-02,Milan,Frosinone,1.44,4.5,7.5
2023-12-03,Lecce,Bologna,3.0,3.2,2.45
2023-12-03,Fiorentina,Salernitana,1.45,4.75,7.0
2023-12-03,Udinese,Verona,1.7,3.6,5.25
2023-12-03,Sassuolo,Roma,3.8,3.75,1.91
2023-12-03,Napoli,Inter,2.8,3.5,2.4
2023-12-04,Torino,Atalanta,2.9,3.2,2.45
2023-12-08,Juventus,Napoli,2.25,3.25,3.25
2023-12-09,Verona,Lazio,4.2,3.4,1.95
2023-12-09,Atalanta,Milan,2.5,3.2,3.0
2023-12-09,Inter,Udinese,1.29,6.5,9.0
2023-12-10,Frosinone,Torino,3.4,3.2,2.25
2023-12-10,Monza,Genoa,2.15,3.1,3.75
2023-12-10,Salernitana,Bologna,3.75,3.3,2.05
2023-12-10,Roma,Fiorentina,2.1,3.3,3.5
2023-12-11,Empoli,Lecce,2.55,3.2,3.0
2023-12-11,Cagliari,Sassuolo,2.3,3.5,3.0
2023-12-15,Genoa,Juventus,4.75,3.2,1.91
2023-12-16,Lecce,Frosinone,2.15,3.3,3.5
2023-12-16,Napoli,Cagliari,1.33,5.0,9.5
2023-12-16,Torino,Empoli,1.6,3.8,6.0
2023-12-17,Milan,Monza,1.62,4.33,5.0
2023-12-17,Fiorentina,Verona,1.4,5.0,7.0
2023-12-17,Udinese,Sassuolo,2.25,3.5,3.1
2023-12-17,Bologna,Roma,2.38,3.0,3.25
2023-12-17,Lazio,Inter,4.75,3.8,1.73
2023-12-18,Atalanta,Salernitana,1.3,5.5,10.0
2023-12-22,Empoli,Lazio,4.2,3.4,1.91
2023-12-22,Sassuolo,Genoa,2.25,3.3,3.25
