date,home_team,away_team,b365_h,b365_x,b365_a,b365_ch,b365_cx,b365_ca
2023-05-07,Atalanta,Juventus,2.3,3.4,3.1,2.3,3.3,3.1
2023-05-07,Torino,Monza,2.0,3.3,4.0,2.05,3.3,3.75
2023-05-07,Napoli,Fiorentina,1.8,3.8,4.33,1.8,3.75,4.5
2023-05-07,Lecce,Verona,2.2,3.0,3.75,2.05,3.1,4.0
2023-05-08,Empoli,Salernitana,2.2,3.1,3.6,2.2,2.88,3.8
2023-05-08,Udinese,Sampdoria,1.5,4.33,6.5,1.45,4.5,7.0
2023-05-08,Sassuolo,Bologna,2.3,3.5,3.0,2.45,3.6,2.8
2023-05-12,Lazio,Lecce,1.7,3.5,5.5,1.7,3.6,5.5
2023-05-13,Salernitana,Atalanta,4.75,4.2,1.65,4.5,4.33,1.67
2023-05-13,Spezia,Milan,4.2,3.5,1.91,4.33,3.6,1.85
2023-05-13,Inter,Sassuolo,1.4,5.0,7.0,1.45,4.75,6.5
2023-05-14,Verona,Torino,2.4,3.1,3.2,2.5,3.1,3.0
2023-05-14,Fiorentina,Udinese,1.95,3.6,3.8,1.8,3.75,4.5
2023-05-14,Monza,Napoli,4.75,3.75,1.73,3.1,3.3,2.25
2023-05-14,Bologna,Roma,3.1,3.1,2.45,2.55,3.1,3.0
2023-05-14,Juventus,Cremonese,1.36,4.75,9.0,1.33,4.75,10.0
2023-05-15,Sampdoria,Empoli,3.2,3.3,2.3,3.8,3.3,2.05
2023-05-19,Sassuolo,Monza,2.15,3.6,3.2,2.05,3.6,3.4
2023-05-20,Cremonese,Bologna,2.88,3.4,2.4,3.6,3.5,2.05
2023-05-20,Atalanta,Verona,1.53,4.2,6.0,1.44,4.75,7.0
2023-05-20,Milan,Sampdoria,1.17,7.5,17.0,1.1,8.5,23.0
2023-05-21,Lecce,Spezia,2.2,3.1,3.6,2.05,3.1,4.2
2023-05-21,Torino,Fiorentina,1.95,3.4,4.2,2.05,3.2,4.0
2023-05-21,Napoli,Inter,2.9,3.3,2.45,1.95,3.75,3.8
2023-05-21,Udinese,Lazio,3.8,3.4,2.0,3.5,3.6,2.0
2023-05-22,Roma,Salernitana,1.45,4.2,7.5,1.53,4.0,6.0
2023-05-22,Empoli,Juventus,5.5,3.75,1.65,4.75,3.6,1.8
2023-05-26,Sampdoria,Sassuolo,3.8,4.1,1.83,4.0,4.0,1.8
2023-05-27,Salernitana,Udinese,2.7,3.5,2.55,2.8,3.3,2.55
2023-05-27,Spezia,Torino,2.38,3.25,3.1,2.55,3.1,2.9
2023-05-27,Fiorentina,Roma,2.05,3.5,3.6,2.25,3.3,3.2
2023-05-27,Inter,Atalanta,1.83,3.8,4.0,1.8,3.8,4.2
2023-05-28,Verona,Empoli,1.7,3.8,5.0,1.91,3.6,4.0
2023-05-28,Bologna,Napoli,3.4,3.3,2.2,4.0,3.4,1.95
2023-05-28,Monza,Lecce,2.45,3.3,2.9,2.15,3.2,3.6
2023-05-28,Lazio,Cremonese,1.22,6.5,12.0,1.22,6.5,11.0
2023-05-28,Juventus,Milan,2.3,3.4,3.1,2.4,3.4,2.88
2023-06-02,Sassuolo,Fiorentina,2.6,3.75,2.5,2.5,3.75,2.6
2023-06-03,Torino,Inter,2.3,3.5,3.0,2.4,3.5,2.88
2023-06-03,Cremonese,Salernitana,2.6,3.6,2.5,2.6,3.5,2.6
2023-06-03,Empoli,Lazio,3.25,3.75,2.1,3.75,3.8,1.91
2023-06-04,Napoli,Sampdoria,1.18,7.0,13.0,1.08,10.0,21.0
2023-06-04,Atalanta,Monza,1.57,4.5,5.0,1.5,5.0,6.0
2023-06-04,Lecce,Bologna,2.75,3.5,2.45,2.55,3.5,2.63
2023-06-04,Milan,Verona,1.73,4.0,4.5,1.67,4.0,5.0
2023-06-04,Roma,Spezia,1.95,3.6,3.8,1.75,3.75,4.75
2023-06-04,Udinese,Juventus,3.8,3.5,1.95,5.25,4.2,1.62
