Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,date,home_team,away_team,home_goals,away_goals,result
19/08/23,Empoli,Verona,0,1,A,2023-08-19,Empoli,Verona,0,1,2
19/08/23,Frosinone,Napoli,1,3,A,2023-08-19,Frosinone,Napoli,1,3,2
19/08/23,Genoa,Fiorentina,1,4,A,2023-08-19,Genoa,Fiorentina,1,4,2
19/08/23,Inter,Monza,2,0,H,2023-08-19,Inter,Monza,2,0,1
20/08/23,Roma,Salernitana,2,2,D,2023-08-20,Roma,Salernitana,2,2,X
20/08/23,Sassuolo,Atalanta,0,2,A,2023-08-20,Sassuolo,Atalanta,0,2,2
20/08/23,Lecce,Lazio,2,1,H,2023-08-20,Lecce,Lazio,2,1,1
20/08/23,Udinese,Juventus,0,3,A,2023-08-20,Udinese,Juventus,0,3,2
21/08/23,Torino,Cagliari,0,0,D,2023-08-21,Torino,Cagliari,0,0,X
21/08/23,Bologna,Milan,0,2,A,2023-08-21,Bologna,Milan,0,2,2
26/08/23,Frosinone,Atalanta,2,1,H,2023-08-26,Frosinone,Atalanta,2,1,1
26/08/23,Monza,Empoli,2,0,H,2023-08-26,Monza,Empoli,2,0,1
26/08/23,Milan,Torino,4,1,H,2023-08-26,Milan,Torino,4,1,1
26/08/23,Verona,Roma,2,1,H,2023-08-26,Verona,Roma,2,1,1
27/08/23,Fiorentina,Lecce,2,2,D,2023-08-27,Fiorentina,Lecce,2,2,X
27/08/23,Juventus,Bologna,1,1,D,2023-08-27,Juventus,Bologna,1,1,X
27/08/23,Lazio,Genoa,0,1,A,2023-08-27,Lazio,Genoa,0,1,2
27/08/23,Napoli,Sassuolo,2,0,H,2023-08-27,Napoli,Sassuolo,2,0,1
28/08/23,Salernitana,Udinese,1,1,D,2023-08-28,Salernitana,Udinese,1,1,X
28/08/23,Cagliari,Inter,0,2,A,2023-08-28,Cagliari,Inter,0,2,2
01/09/23,Sassuolo,Verona,3,1,H,2023-09-01,Sassuolo,Verona,3,1,1
01/09/23,Roma,Milan,1,2,A,2023-09-01,Roma,Milan,1,2,2
02/09/23,Bologna,Cagliari,2,1,H,2023-09-02,Bologna,Cagliari,2,1,1
02/09/23,Udinese,Frosinone,0,0,D,2023-09-02,Udinese,Frosinone,0,0,X
02/09/23,Atalanta,Monza,3,0,H,2023-09-02,Atalanta,Monza,3,0,1
02/09/23,Napoli,Lazio,1,2,A,2023-09-02,Napoli,Lazio,1,2,2
03/09/23,Inter,Fiorentina,4,0,H,2023-09-03,Inter,Fiorentina,4,0,1
03/09/23,Torino,Genoa,1,0,H,2023-09-03,Torino,Genoa,1,0,1
03/09/23,Empoli,Juventus,0,2,A,2023-09-03,Empoli,Juventus,0,2,2
03/09/23,Lecce,Salernitana,2,0,H,2023-09-03,Lecce,Salernitana,2,0,1
16/09/23,Juventus,Lazio,3,1,H,2023-09-16,Juventus,Lazio,3,1,1
16/09/23,Inter,Milan,5,1,H,2023-09-16,Inter,Milan,5,1,1
16/09/23,Genoa,Napoli,2,2,D,2023-09-16,Genoa,Napoli,2,2,X
17/09/23,Cagliari,Udinese,0,0,D,2023-09-17,Cagliari,Udinese,0,0,X
17/09/23,Frosinone,Sassuolo,4,2,H,2023-09-17,Frosinone,Sassuolo,4,2,1
17/09/23,Monza,Lecce,1,1,D,2023-09-17,Monza,Lecce,1,1,X
17/09/23,Fiorentina,Atalanta,3,2,H,2023-09-17,Fiorentina,Atalanta,3,2,1
17/09/23,Roma,Empoli,7,0,H,2023-09-17,Roma,Empoli,7,0,1
18/09/23,Salernitana,Torino,0,3,A,2023-09-18,Salernitana,Torino,0,3,2
18/09/23,Verona,Bologna,0,0,D,2023-09-18,Verona,Bologna,0,0,X
22/09/23,Salernitana,Frosinone,1,1,D,2023-09-22,Salernitana,Frosinone,1,1,X
22/09/23,Lecce,Genoa,1,0,H,2023-09-22,Lecce,Genoa,1,0,1
23/09/23,Milan,Verona,1,0,H,2023-09-23,Milan,Verona,1,0,1
23/09/23,Sassuolo,Juventus,4,2,H,2023-09-23,Sassuolo,Juventus,4,2,1
23/09/23,Lazio,Monza,1,1,D,2023-09-23,Lazio,Monza,1,1,X
24/09/23,Empoli,Inter,0,1,A,2023-09-24,Empoli,Inter,0,1,2
24/09/23,Atalanta,Cagliari,2,0,H,2023-09-24,Atalanta,Cagliari,2,0,1
24/09/23,Udinese,Fiorentina,0,2,A,2023-09-24,Udinese,Fiorentina,0,2,2
24/09/23,Bologna,Napoli,0,0,D,2023-09-24,Bologna,Napoli,0,0,X
24/09/23,Torino,Roma,1,1,D,2023-09-24,Torino,Roma,1,1,X
26/09/23,Juventus,Lecce,1,0,H,2023-09-26,Juventus,Lecce,1,0,1
27/09/23,Cagliari,Milan,1,3,A,2023-09-27,Cagliari,Milan,1,3,2
27/09/23,Empoli,Salernitana,1,0,H,2023-09-27,Empoli,Salernitana,1,0,1
27/09/23,Verona,Atalanta,0,1,A,2023-09-27,Verona,Atalanta,0,1,2
27/09/23,Inter,Sassuolo,1,2,A,2023-09-27,Inter,Sassuolo,1,2,2
27/09/23,Lazio,Torino,2,0,H,2023-09-27,Lazio,Torino,2,0,1
27/09/23,Napoli,Udinese,4,1,H,2023-09-27,Napoli,Udinese,4,1,1
28/09/23,Frosinone,Fiorentina,1,1,D,2023-09-28,Frosinone,Fiorentina,1,1,X
28/09/23,Monza,Bologna,0,0,D,2023-09-28,Monza,Bologna,0,0,X
28/09/23,Genoa,Roma,4,1,H,2023-09-28,Genoa,Roma,4,1,1
30/09/23,Lecce,Napoli,0,4,A,2023-09-30,Lecce,Napoli,0,4,2
30/09/23,Milan,Lazio,2,0,H,2023-09-30,Milan,Lazio,2,0,1
30/09/23,Salernitana,Inter,0,4,A,2023-09-30,Salernitana,Inter,0,4,2
01/10/23,Bologna,Empoli,3,0,H,2023-10-01,Bologna,Empoli,3,0,1
01/10/23,Udinese,Genoa,2,2,D,2023-10-01,Udinese,Genoa,2,2,X
01/10/23,Atalanta,Juventus,0,0,D,2023-10-01,Atalanta,Juventus,0,0,X
01/10/23,Roma,Frosinone,2,0,H,2023-10-01,Roma,Frosinone,2,0,1
02/10/23,Sassuolo,Monza,0,1,A,2023-10-02,Sassuolo,Monza,0,1,2
02/10/23,Torino,Verona,0,0,D,2023-10-02,Torino,Verona,0,0,X
02/10/23,Fiorentina,Cagliari,3,0,H,2023-10-02,Fiorentina,Cagliari,3,0,1
06/10/23,Empoli,Udinese,0,0,D,2023-10-06,Empoli,Udinese,0,0,X
06/10/23,Lecce,Sassuolo,1,1,D,2023-10-06,Lecce,Sassuolo,1,1,X
07/10/23,Inter,Bologna,2,2,D,2023-10-07,Inter,Bologna,2,2,X
07/10/23,Juventus,Torino,2,0,H,2023-10-07,Juventus,Torino,2,0,1
07/10/23,Genoa,Milan,0,1,A,2023-10-07,Genoa,Milan,0,1,2
08/10/23,Monza,Salernitana,3,0,H,2023-10-08,Monza,Salernitana,3,0,1
08/10/23,Frosinone,Verona,2,1,H,2023-10-08,Frosinone,Verona,2,1,1
08/10/23,Lazio,Atalanta,3,2,H,2023-10-08,Lazio,Atalanta,3,2,1
08/10/23,Cagliari,Roma,1,4,A,2023-10-08,Cagliari,Roma,1,4,2
08/10/23,Napoli,Fiorentina,1,3,A,2023-10-08,Napoli,Fiorentina,1,3,2
21/10/23,Verona,Napoli,1,3,A,2023-10-21,Verona,Napoli,1,3,2
21/10/23,Torino,Inter,0,3,A,2023-10-21,Torino,Inter,0,3,2
21/10/23,Sassuolo,Lazio,0,2,A,2023-10-21,Sassuolo,Lazio,0,2,2
22/10/23,Roma,Monza,1,0,H,2023-10-22,Roma,Monza,1,0,1
22/10/23,Bologna,Frosinone,2,1,H,2023-10-22,Bologna,Frosinone,2,1,1
22/10/23,Salernitana,Cagliari,2,2,D,2023-10-22,Salernitana,Cagliari,2,2,X
22/10/23,Atalanta,Genoa,2,0,H,2023-10-22,Atalanta,Genoa,2,0,1
22/10/23,Milan,Juventus,0,1,A,2023-10-22,Milan,Juventus,0,1,2
23/10/23,Udinese,Lecce,1,1,D,2023-10-23,Udinese,Lecce,1,1,X
23/10/23,Fiorentina,Empoli,0,2,A,2023-10-23,Fiorentina,Empoli,0,2,2
27/10/23,Genoa,Salernitana,1,0,H,2023-10-27,Genoa,Salernitana,1,0,1
28/10/23,Sassuolo,Bologna,1,1,D,2023-10-28,Sassuolo,Bologna,1,1,X
28/10/23,Lecce,Torino,0,1,A,2023-10-28,Lecce,Torino,0,1,2
28/10/23,Juventus,Verona,1,0,H,2023-10-28,Juventus,Verona,1,0,1
29/10/23,Cagliari,Frosinone,4,3,H,2023-10-29,Cagliari,Frosinone,4,3,1
29/10/23,Monza,Udinese,1,1,D,2023-10-29,Monza,Udinese,1,1,X
29/10/23,Inter,Roma,1,0,H,2023-10-29,Inter,Roma,1,0,1
29/10/23,Napoli,Milan,2,2,D,2023-10-29,Napoli,Milan,2,2,X
30/10/23,Empoli,Atalanta,0,3,A,2023-10-30,Empoli,Atalanta,0,3,2
30/10/23,Lazio,Fiorentina,1,0,H,2023-10-30,Lazio,Fiorentina,1,0,1
03/11/23,Bologna,Lazio,1,0,H,2023-11-03,Bologna,Lazio,1,0,1
04/11/23,Salernitana,Napoli,0,2,A,2023-11-04,Salernitana,Napoli,0,2,2
04/11/23,Atalanta,Inter,1,2,A,2023-11-04,Atalanta,Inter,1,2,2
04/11/23,Milan,Udinese,0,1,A,2023-11-04,Milan,Udinese,0,1,2
05/11/23,Verona,Monza,1,3,A,2023-11-05,Verona,Monza,1,3,2
05/11/23,Cagliari,Genoa,2,1,H,2023-11-05,Cagliari,Genoa,2,1,1
05/11/23,Roma,Lecce,2,1,H,2023-11-05,Roma,Lecce,2,1,1
05/11/23,Fiorentina,Juventus,0,1,A,2023-11-05,Fiorentina,Juventus,0,1,2
06/11/23,Frosinone,Empoli,2,1,H,2023-11-06,Frosinone,Empoli,2,1,1
06/11/23,Torino,Sassuolo,2,1,H,2023-11-06,Torino,Sassuolo,2,1,1
10/11/23,Sassuolo,Salernitana,2,2,D,2023-11-10,Sassuolo,Salernitana,2,2,X
10/11/23,Genoa,Verona,1,0,H,2023-11-10,Genoa,Verona,1,0,1
11/11/23,Lecce,Milan,2,2,D,2023-11-11,Lecce,Milan,2,2,X
11/11/23,Juventus,Cagliari,2,1,H,2023-11-11,Juventus,Cagliari,2,1,1
11/11/23,Monza,Torino,1,1,D,2023-11-11,Monza,Torino,1,1,X
12/11/23,Napoli,Empoli,0,1,A,2023-11-12,Napoli,Empoli,0,1,2
12/11/23,Fiorentina,Bologna,2,1,H,2023-11-12,Fiorentina,Bologna,2,1,1
