date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2023-10-23,Fiorentina,Empoli,A,0,2,1.44,4.33,8.0
2023-10-27,Genoa,Salernitana,H,1,0,1.73,3.6,5.25
2023-10-28,Sassuolo,Bologna,D,1,1,2.6,3.4,2.63
2023-10-28,Lecce,Torino,A,0,1,2.75,3.0,2.8
2023-10-28,Juventus,Verona,H,1,0,1.36,5.0,8.0
2023-10-29,Cagliari,Frosinone,H,4,3,2.3,3.3,3.2
2023-10-29,Monza,Udinese,D,1,1,2.0,3.6,3.6
2023-10-29,Inter,Roma,H,1,0,1.62,4.0,5.5
2023-10-29,Napoli,Milan,D,2,2,2.2,3.4,3.3
2023-10-30,Empoli,Atalanta,A,0,3,5.25,3.75,1.67
2023-10-30,Lazio,Fiorentina,H,1,0,2.25,3.25,3.25
2023-11-03,Bologna,Lazio,H,1,0,2.63,3.2,2.75
2023-11-04,Salernitana,Napoli,A,0,2,7.0,4.75,1.44
2023-11-04,Atalanta,Inter,A,1,2,3.3,3.5,2.15
2023-11-04,Milan,Udinese,A,0,1,1.45,4.5,7.0
2023-11-05,Verona,Monza,A,1,3,3.2,3.25,2.3
2023-11-05,Cagliari,Genoa,H,2,1,2.7,3.2,2.7
2023-11-05,Roma,Lecce,H,2,1,1.57,3.8,6.5
2023-11-05,Fiorentina,Juventus,A,0,1,2.9,3.2,2.55
2023-11-06,Frosinone,Empoli,H,2,1,2.0,3.6,3.6
2023-11-06,Torino,Sassuolo,H,2,1,2.15,3.4,3.4
2023-11-10,Sassuolo,Salernitana,D,2,2,1.65,4.2,4.75
2023-11-10,Genoa,Verona,H,1,0,1.91,3.3,4.33
2023-11-11,Lecce,Milan,D,2,2,5.0,3.6,1.75
2023-11-11,Juventus,Cagliari,H,2,1,1.36,5.0,8.0
2023-11-11,Monza,Torino,D,1,1,2.5,3.1,3.0
2023-11-12,Napoli,Empoli,A,0,1,1.22,7.0,11.0
2023-11-12,Fiorentina,Bologna,H,2,1,2.0,3.4,3.8
2023-11-12,Udinese,Atalanta,D,1,1,3.75,3.5,2.0
2023-11-12,Lazio,Roma,D,0,0,3.0,3.0,2.63
2023-11-12,Inter,Frosinone,H,2,0,1.18,8.0,13.0
2023-11-25,Salernitana,Lazio,H,2,1,4.75,3.75,1.75
2023-11-25,Atalanta,Napoli,A,1,2,2.7,3.4,2.63
2023-11-25,Milan,Fiorentina,H,1,0,2.1,3.3,3.5
2023-11-26,Cagliari,Monza,D,1,1,2.88,3.25,2.5
2023-11-26,Empoli,Sassuolo,A,3,4,2.75,3.6,2.4
2023-11-26,Frosinone,Genoa,H,2,1,2.5,3.25,2.88
2023-11-26,Roma,Udinese,H,3,1,1.62,3.8,5.75
2023-11-26,Juventus,Inter,D,1,1,3.3,3.25,2.25
2023-11-27,Verona,Lecce,D,2,2,2.75,3.0,2.88
2023-11-27,Bologna,Torino,H,2,0,2.3,3.25,3.2
2023-12-01,Monza,Juventus,A,1,2,4.2,3.3,1.95
2023-12-02,Genoa,Empoli,D,1,1,1.91,3.6,3.8
2023-12-02,Lazio,Cagliari,H,1,0,1.62,4.0,5.25
2023-12-02,Milan,Frosinone,H,3,1,1.44,4.5,7.5
2023-12-03,Lecce,Bologna,D,1,1,3.0,3.2,2.45
2023-12-03,Fiorentina,Salernitana,H,3,0,1.45,4.75,7.0
2023-12-03,Udinese,Verona,D,3,3,1.7,3.6,5.25
2023-12-03,Sassuolo,Roma,A,1,2,3.8,3.75,1.91
2023-12-03,Napoli,Inter,A,0,3,2.8,3.5,2.4
